oid,otype,morph_type,rvz_redshift,B,V,u_,g_,r_,i_,z_
548900,Sy2,Sab,0.017864,14.171,13.307,15.779,13.951,13.146,12.759,12.459
2882477,Sy1,SB,0.03102,15.69,15.06,15.658,14.615,14.047,13.671,13.358
2679043,Sy1,SBa,0.03557,16.7,16.26,16.265,15.132,14.457,14.115,13.841
2679193,Sy1,Sa,0.04203,17.74,17.14,17.294,15.853,15.096,14.69,14.386
1631255,Sy1,Sa/E,0.02878,15.15,14.6,15.746,14.624,14.05,13.744,13.507
569769,Sy2,2,0.02646,15.5,14.61,16.486,14.782,14.124,13.808,13.515
664409,Sy2,S,0.05226,18.43,17.78,17.632,15.972,15.216,14.766,14.394
2109357,Sy1,S,0.01934,14.6,14.73,15.623,14.416,13.681,13.34,13.016
1861719,Sy1,Sc,0.08355,19.29,18.58,18.685,17.069,16.234,15.806,15.477
464365,Sy1,SA,0.005,17.55,16.89,14.992,13.455,12.777,12.439,12.229
2301274,Sy1,Sb,0.07547,18.95,18.31,17.769,16.519,15.752,15.307,15.031
473272,Sy1,Sab,0.10855,18.5,18.02,17.86,17.14,16.54,15.999,15.844
633546,Sy2,E+A,0.03784,19.84,19.19,21.43,19.402,18.629,18.3,17.927
2914008,Sy1,Sc,0.04113,16.23,15.75,17.284,16.064,15.48,15.158,14.917
2268049,Sy1,Sc,0.0551,17.8,16.99,17.177,15.841,15.184,14.802,14.551
589095,Sy1,S0+,0.162788,17.52,17.28,17.1885,17.1317,17.0635,16.7814,16.8058
443687,Sy1,S,0.07366,18.49,17.77,16.524,15.449,14.828,14.435,14.189
442496,Sy2,E,0.06026,17.82,17.05,17.439,15.475,14.456,14.003,13.705
444828,Sy1,Sp,0.03892,17.36,16.78,16.756,15.48,14.751,14.375,14.078
1694274,Sy1,E,0.09443,19.37,18.85,20.073,19.172,18.58,18.149,17.955
4495428,Sy1,S0/a,0.08952,17.91,17.43,17.495,16.783,16.18,15.755,15.521
1392117,Sy1,S,0.11435,17.14,17.1,18.974,17.976,17.571,17.238,17.141
458800,Sy2,S0+,0.10986,18.65,18.03,19.003,17.578,16.836,16.417,16.176
