OType,ra,dec,rvz_redshift,rvz_radvel
Sy1,234.3993892,14.72154551,0.14989,41600.75278
Sy1,239.1953373,6.747705018,0.17537,48024.13289
Sy2,165.5541247,64.99025187,0.07757,22355.47082
Sy2,165.894708,65.18563339,0.114,32239.58597
Sy1,8.911462916,19.76554912,0.301,77113.74845
Sy1,194.8061062,13.6423616,0.12403,34893.01092
Sy1,193.2214101,13.56884457,0.2658,69382.23648
Sy2,195.887867,14.83903766,0.03533,10404.67845
Sy2,62.2141,-24.3042,2.439998,253072.4762
Sy1,8.964259923,0.595994501,0.43069,103005.5412
Sy1,28.91255454,-31.85225947,0.63,135832.5696
Sy1,326.1188827,-28.72857176,0.54,121958.5168
Sy2,121.0134218,35.99303485,0.04411,12932.46491
Sy2,128.6722181,42.13203937,0.12333,34708.77087
Sy2,136.9656153,9.72728712,0.08097,23294.4257
Sy2,346.2360134,12.32287705,0.007967227,2379
Sy1,35.06073179,-7.48313182,0.21343,57282.37978
Sy1,233.1200002,4.899556561,0.2182,58414.75956
Sy1,216.8983654,26.53737255,0.36361,90105.75542
Sy1,208.6486976,18.08819569,0.15147,42004.39449
Sy1,219.567346,-6.972406363,0.129,36197.05283
Sy2,144.7223099,50.6276249,0.20795,55973.83231
Sy1,143.3019769,61.32676422,0.12266,34532.29434
Sy2,169.3516192,25.69261341,0.04781,13990.81852
Sy2,215.0091458,37.89984992,0.12092,34073.37655
Sy2,142.8181527,61.88473702,0.164,45180.4004
Sy2,200.2463441,45.44653571,0.09168,26229.89305
Sy2,219.5493789,24.52512342,0.01656,4923.462066
Sy2,191.2065965,15.37103778,0.07603,21929.05749
Sy1,191.4317382,15.61020751,0.25325,66548.6156
Sy1,190.6603107,15.49297658,0.07034,20347.46778
Sy1,214.6505153,39.54933729,0.291,74949.32303
