otype,ra,dec,rvz_redshift,rvz_radvel,plx_value,dist,unit
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,11.0662,Mpc 
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,11.86,Mpc 
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,10,Mpc 
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,12.36,Mpc 
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,20.8,Mpc 
Sy2,253.1930375,-59.21694167,0.005012019,1498.8,,11,Mpc 
Sy2,143.7399722,21.70526683,0.01239,3691.419414,0.7627,54,Mpc 
Sy2,143.7399722,21.70526683,0.01239,3691.419414,0.7627,40.6,Mpc 
Sy1,190.435631,35.06276794,0.0233,6903.808688,,94.62,Mpc 
Sy1,190.435631,35.06276794,0.0233,6903.808688,,93.76,Mpc 
Sy2,209.6581692,37.42448934,0.01158,3451.497451,0.4347,54.22,Mpc 
Sy2,209.6581692,37.42448934,0.01158,3451.497451,0.4347,50.3,Mpc 
Sy2,184.7400833,47.30371944,0.0016,479.2841989,,6.95,Mpc 
Sy2,184.7400833,47.30371944,0.0016,479.2841989,,7.98,Mpc 
Sy2,184.7400833,47.30371944,0.0016,479.2841989,,7.59,Mpc 
